2026-01-26 13:28:05,721 - himawari_pipeline - INFO - Initializing Himawari-8 Pipeline
2026-01-26 13:28:05,721 - himawari_pipeline - INFO - 
================================================================
         Himawari-8 Pipeline Configuration Summary
================================================================
Geographic Region:
  Latitude:  20.0°N to 27.0°N
  Longitude: 88.0°E to 93.0°E
  Output:    64x64 grid (~0.05° resolution)
----------------------------------------------------------------
Temporal Settings:
  Period:    2023-01-01 to 2025-12-31
  Interval:  30 minutes
----------------------------------------------------------------
Bands:
  B08 (6.2 um)  - Upper-level water vapor
  B10 (7.3 um)  - Mid-level water vapor
  B13 (10.4 um) - Cloud-top temperature
----------------------------------------------------------------
Processing:
  Aggregation: min
  Interpolation: bilinear
----------------------------------------------------------------
Storage:
  Format:    npz
  Directory: d:\Study mat\THESIS\NASA API\himawari_pipeline
================================================================

2026-01-26 13:28:05,734 - himawari_pipeline - INFO - Processing period: 2023-01-01 to 2023-12-31
2026-01-26 13:28:05,758 - himawari_pipeline - INFO - Total timestamps to process: 17520
2026-01-26 13:28:05,979 - himawari_pipeline - INFO - Pending timestamps: 17520 (0 already done)
2026-01-26 13:36:45,511 - himawari_pipeline - INFO - Progress: 48/17520 (39 successful, 0 failed)
2026-01-26 13:49:34,876 - himawari_pipeline - INFO - Progress: 96/17520 (87 successful, 0 failed)
2026-01-26 13:59:46,805 - himawari_pipeline - INFO - Progress: 144/17520 (135 successful, 0 failed)
2026-01-26 14:10:33,005 - himawari_pipeline - INFO - Progress: 192/17520 (183 successful, 0 failed)
2026-01-26 14:22:44,298 - himawari_pipeline - INFO - Progress: 240/17520 (231 successful, 0 failed)
2026-01-26 14:33:06,333 - himawari_pipeline - INFO - Progress: 288/17520 (279 successful, 0 failed)
2026-01-26 14:44:32,233 - himawari_pipeline - INFO - Progress: 336/17520 (327 successful, 0 failed)
2026-01-26 14:53:53,765 - himawari_pipeline - INFO - Progress: 384/17520 (375 successful, 0 failed)
2026-01-26 15:03:21,499 - himawari_pipeline - INFO - Progress: 432/17520 (423 successful, 0 failed)
2026-01-26 15:13:25,023 - himawari_pipeline - INFO - Progress: 480/17520 (471 successful, 0 failed)
2026-01-26 15:23:17,106 - himawari_pipeline - INFO - Progress: 528/17520 (519 successful, 0 failed)
2026-01-26 15:36:08,231 - himawari_pipeline - INFO - Progress: 576/17520 (567 successful, 0 failed)
2026-01-26 15:48:34,925 - himawari_pipeline - INFO - Progress: 624/17520 (615 successful, 0 failed)
2026-01-26 16:02:17,131 - himawari_pipeline - INFO - Progress: 672/17520 (663 successful, 0 failed)
2026-01-26 16:15:54,356 - himawari_pipeline - INFO - Progress: 720/17520 (711 successful, 0 failed)
2026-01-26 16:29:05,784 - himawari_pipeline - INFO - Progress: 768/17520 (759 successful, 0 failed)
2026-01-26 16:42:55,980 - himawari_pipeline - INFO - Progress: 816/17520 (807 successful, 0 failed)
2026-01-26 16:55:58,619 - himawari_pipeline - INFO - Progress: 864/17520 (855 successful, 0 failed)
2026-01-26 17:07:10,223 - himawari_pipeline - INFO - Progress: 912/17520 (903 successful, 0 failed)
2026-01-26 17:20:24,601 - himawari_pipeline - INFO - Progress: 960/17520 (951 successful, 0 failed)
2026-01-26 17:34:24,405 - himawari_pipeline - INFO - Progress: 1008/17520 (999 successful, 0 failed)
2026-01-26 17:46:53,697 - himawari_pipeline - INFO - Progress: 1056/17520 (1047 successful, 0 failed)
2026-01-26 17:59:56,300 - himawari_pipeline - INFO - Progress: 1104/17520 (1095 successful, 0 failed)
2026-01-26 18:11:06,196 - himawari_pipeline - INFO - Progress: 1152/17520 (1143 successful, 0 failed)
2026-01-26 18:21:28,311 - himawari_pipeline - INFO - Progress: 1200/17520 (1191 successful, 0 failed)
