2026-01-26 20:51:06,249 - himawari_pipeline - INFO - Initializing Himawari-8 Pipeline
2026-01-26 20:51:06,253 - himawari_pipeline - INFO - Year-specific mode: 2023
2026-01-26 20:51:06,254 - himawari_pipeline - INFO - 
================================================================
         Himawari-8 Pipeline Configuration Summary
================================================================
Geographic Region:
  Latitude:  20.0°N to 27.0°N
  Longitude: 88.0°E to 93.0°E
  Output:    64x64 grid (~0.05° resolution)
----------------------------------------------------------------
Temporal Settings:
  Period:    2023-01-01 to 2025-12-31
  Interval:  30 minutes
----------------------------------------------------------------
Bands:
  B08 (6.2 um)  - Upper-level water vapor
  B10 (7.3 um)  - Mid-level water vapor
  B13 (10.4 um) - Cloud-top temperature
----------------------------------------------------------------
Processing:
  Aggregation: min
  Interpolation: bilinear
----------------------------------------------------------------
Storage:
  Format:    npz
  Directory: d:\Study mat\THESIS\NASA API\himawari_pipeline
================================================================

2026-01-26 20:51:06,308 - himawari_pipeline - INFO - Processing period: 2023-01-01 to 2023-12-31
2026-01-26 20:51:06,375 - himawari_pipeline - INFO - Total timestamps to process: 17520
2026-01-26 20:51:06,563 - himawari_pipeline - INFO - Pending timestamps: 17520 (0 already done)
2026-01-26 20:51:06,599 - himawari_pipeline - INFO - Progress: 48/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,659 - himawari_pipeline - INFO - Progress: 96/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,671 - himawari_pipeline - INFO - Progress: 144/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,684 - himawari_pipeline - INFO - Progress: 192/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,722 - himawari_pipeline - INFO - Progress: 240/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,735 - himawari_pipeline - INFO - Progress: 288/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,752 - himawari_pipeline - INFO - Progress: 336/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,876 - himawari_pipeline - INFO - Progress: 384/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,920 - himawari_pipeline - INFO - Progress: 432/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,972 - himawari_pipeline - INFO - Progress: 480/17520 (0 successful, 0 failed)
2026-01-26 20:51:06,989 - himawari_pipeline - INFO - Progress: 528/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,124 - himawari_pipeline - INFO - Progress: 576/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,154 - himawari_pipeline - INFO - Progress: 624/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,167 - himawari_pipeline - INFO - Progress: 672/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,180 - himawari_pipeline - INFO - Progress: 720/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,194 - himawari_pipeline - INFO - Progress: 768/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,209 - himawari_pipeline - INFO - Progress: 816/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,226 - himawari_pipeline - INFO - Progress: 864/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,264 - himawari_pipeline - INFO - Progress: 912/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,276 - himawari_pipeline - INFO - Progress: 960/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,289 - himawari_pipeline - INFO - Progress: 1008/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,304 - himawari_pipeline - INFO - Progress: 1056/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,317 - himawari_pipeline - INFO - Progress: 1104/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,332 - himawari_pipeline - INFO - Progress: 1152/17520 (0 successful, 0 failed)
2026-01-26 20:51:07,347 - himawari_pipeline - INFO - Progress: 1200/17520 (0 successful, 0 failed)
2026-01-26 20:59:25,513 - himawari_pipeline - INFO - Progress: 1248/17520 (40 successful, 0 failed)
