Feature,Importance
Temp_Humidity_Index_norm,0.26609054
Temp_Humidity_Index,0.20540594
TimeCategory_Encoded,0.15070058
Hour,0.06712865
Has_Precipitation,0.06611078
Month_Cos,0.0449849
Month_Cos_norm,0.038022533
Is_PreMonsoon,0.024426632
Month_Sin_norm,0.012456251
Instability_Score,0.0122708855
Season_Encoded,0.010000569
Hour_Cos,0.009878127
Instability_Score_norm,0.009680242
Month,0.008069069
Month_Sin,0.0064121955
Is_Afternoon,0.0062530115
Precipitation_mm_norm,0.005017958
Hour_Sin,0.004476406
High_Humidity,0.004410386
Hour_Sin_norm,0.0041863457
Dewpoint_C,0.0037851685
Humidity_%_norm,0.0030640492
Strong_Wind,0.002795455
Dewpoint_C_norm,0.002595919
Temp_Deviation,0.0024325384
Temperature_C_norm,0.0023664038
Wind_Speed_m/s_norm,0.0023155909
Hour_Cos_norm,0.0022878612
Temp_Deviation_norm,0.002223732
District_Encoded,0.0021765134
is_Mymensingh,0.0021750766
is_Barisal,0.002138456
is_Chittagong,0.0021259428
is_Dhaka,0.00209287
is_Rajshahi,0.0020696984
is_Sylhet,0.0020271763
is_Rangpur,0.0019796072
Minute,0.0017582092
is_Khulna,0.0016076099
