Date,Location,Latitude,Longitude,Temperature_2m_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_%,Precipitation_mm,Wind_Speed_m/s,Surface_Pressure_kPa,Solar_Radiation_kWh/m2
2024-08-05,Chittagong,22.3569,91.7832,27.39,28.59,26.31,89.9,20.72,2.75,100.21,14.55
2024-08-05,Dhaka,23.8103,90.4125,28.14,30.93,25.8,89.85,18.98,2.86,100.37,14.06
2024-08-05,Rangpur,25.7439,89.2752,28.92,31.6,26.75,89.44,13.1,2.87,100.01,15.18
2024-08-05,Sylhet,24.8949,91.8687,27.71,30.53,25.7,90.09,41.38,2.42,99.31,14.36
2024-08-10,Chittagong,22.3569,91.7832,27.9,30.39,25.83,89.34,44.06,3.98,100.22,6.08
2024-08-10,Dhaka,23.8103,90.4125,28.76,32.06,26.0,89.31,13.24,3.19,100.34,15.63
2024-08-10,Rangpur,25.7439,89.2752,29.1,31.83,26.88,87.62,20.25,2.31,100.03,16.8
2024-08-10,Sylhet,24.8949,91.8687,27.57,30.86,24.73,91.47,57.79,2.54,99.33,18.1
2024-08-15,Chittagong,22.3569,91.7832,27.82,29.97,26.33,90.64,2.13,2.51,100.02,21.1
2024-08-15,Dhaka,23.8103,90.4125,28.77,31.88,26.73,89.18,3.0,2.13,100.26,19.66
2024-08-15,Rangpur,25.7439,89.2752,28.86,31.11,26.9,89.49,4.3,1.74,100.01,18.37
2024-08-15,Sylhet,24.8949,91.8687,28.93,31.5,25.78,86.14,19.87,0.86,99.21,20.09
2024-08-20,Chittagong,22.3569,91.7832,27.8,29.69,26.37,91.64,77.63,4.13,100.24,2.59
2024-08-20,Dhaka,23.8103,90.4125,28.27,30.72,26.42,92.33,41.5,3.83,100.26,11.21
2024-08-20,Rangpur,25.7439,89.2752,28.12,30.9,26.24,91.06,15.01,4.41,99.89,13.21
2024-08-20,Sylhet,24.8949,91.8687,26.46,28.66,24.8,94.58,255.43,2.77,99.3,8.52
2024-08-25,Chittagong,22.3569,91.7832,26.58,28.13,25.52,92.57,60.09,3.13,100.07,6.08
2024-08-25,Dhaka,23.8103,90.4125,26.91,28.83,25.35,92.61,22.95,2.66,100.26,8.8
2024-08-25,Rangpur,25.7439,89.2752,27.45,29.06,26.18,90.69,6.91,1.75,100.04,19.19
2024-08-25,Sylhet,24.8949,91.8687,26.97,30.18,25.16,91.25,3.36,1.53,99.25,17.78
