Date,Time,DateTime,Location,Latitude,Longitude,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_2m_m/s,Precipitation_mm
2023-01-15,00:00,2023-01-15 00:00,Dhaka,23.8103,90.4125,16.56,88.05,0.98,0.0
2023-01-15,00:30,2023-01-15 00:30,Dhaka,23.8103,90.4125,16.56,88.05,0.98,0.0
2023-01-15,01:00,2023-01-15 01:00,Dhaka,23.8103,90.4125,16.02,91.99,0.93,0.0
2023-01-15,01:30,2023-01-15 01:30,Dhaka,23.8103,90.4125,16.02,91.99,0.93,0.0
2023-01-15,02:00,2023-01-15 02:00,Dhaka,23.8103,90.4125,15.55,95.58,0.84,0.0
2023-01-15,02:30,2023-01-15 02:30,Dhaka,23.8103,90.4125,15.55,95.58,0.84,0.0
2023-01-15,03:00,2023-01-15 03:00,Dhaka,23.8103,90.4125,15.25,98.16,0.71,0.0
2023-01-15,03:30,2023-01-15 03:30,Dhaka,23.8103,90.4125,15.25,98.16,0.71,0.0
2023-01-15,04:00,2023-01-15 04:00,Dhaka,23.8103,90.4125,15.05,99.72,0.6,0.0
2023-01-15,04:30,2023-01-15 04:30,Dhaka,23.8103,90.4125,15.05,99.72,0.6,0.0
2023-01-15,05:00,2023-01-15 05:00,Dhaka,23.8103,90.4125,14.75,100.0,0.67,0.0
2023-01-15,05:30,2023-01-15 05:30,Dhaka,23.8103,90.4125,14.75,100.0,0.67,0.0
2023-01-15,06:00,2023-01-15 06:00,Dhaka,23.8103,90.4125,14.44,100.0,0.82,0.0
2023-01-15,06:30,2023-01-15 06:30,Dhaka,23.8103,90.4125,14.44,100.0,0.82,0.0
2023-01-15,07:00,2023-01-15 07:00,Dhaka,23.8103,90.4125,15.46,97.05,0.79,0.0
2023-01-15,07:30,2023-01-15 07:30,Dhaka,23.8103,90.4125,15.46,97.05,0.79,0.0
2023-01-15,08:00,2023-01-15 08:00,Dhaka,23.8103,90.4125,17.82,85.33,1.12,0.0
2023-01-15,08:30,2023-01-15 08:30,Dhaka,23.8103,90.4125,17.82,85.33,1.12,0.0
2023-01-15,09:00,2023-01-15 09:00,Dhaka,23.8103,90.4125,21.26,64.56,1.05,0.0
2023-01-15,09:30,2023-01-15 09:30,Dhaka,23.8103,90.4125,21.26,64.56,1.05,0.0
2023-01-15,10:00,2023-01-15 10:00,Dhaka,23.8103,90.4125,23.3,53.06,1.76,0.0
2023-01-15,10:30,2023-01-15 10:30,Dhaka,23.8103,90.4125,23.3,53.06,1.76,0.0
2023-01-15,11:00,2023-01-15 11:00,Dhaka,23.8103,90.4125,24.32,48.27,2.24,0.0
2023-01-15,11:30,2023-01-15 11:30,Dhaka,23.8103,90.4125,24.32,48.27,2.24,0.0
2023-01-15,12:00,2023-01-15 12:00,Dhaka,23.8103,90.4125,24.83,45.99,2.65,0.0
2023-01-15,12:30,2023-01-15 12:30,Dhaka,23.8103,90.4125,24.83,45.99,2.65,0.0
2023-01-15,13:00,2023-01-15 13:00,Dhaka,23.8103,90.4125,24.93,45.41,3.02,0.0
2023-01-15,13:30,2023-01-15 13:30,Dhaka,23.8103,90.4125,24.93,45.41,3.02,0.0
2023-01-15,14:00,2023-01-15 14:00,Dhaka,23.8103,90.4125,24.61,45.23,3.22,0.0
2023-01-15,14:30,2023-01-15 14:30,Dhaka,23.8103,90.4125,24.61,45.23,3.22,0.0
2023-01-15,15:00,2023-01-15 15:00,Dhaka,23.8103,90.4125,23.69,47.45,3.05,0.0
2023-01-15,15:30,2023-01-15 15:30,Dhaka,23.8103,90.4125,23.69,47.45,3.05,0.0
2023-01-15,16:00,2023-01-15 16:00,Dhaka,23.8103,90.4125,21.64,58.71,1.81,0.0
2023-01-15,16:30,2023-01-15 16:30,Dhaka,23.8103,90.4125,21.64,58.71,1.81,0.0
2023-01-15,17:00,2023-01-15 17:00,Dhaka,23.8103,90.4125,18.43,68.56,1.29,0.0
2023-01-15,17:30,2023-01-15 17:30,Dhaka,23.8103,90.4125,18.43,68.56,1.29,0.0
2023-01-15,18:00,2023-01-15 18:00,Dhaka,23.8103,90.4125,17.36,70.06,1.28,0.0
