Date,Location,Latitude,Longitude,Temperature_2m_C,Temperature_Max_C,Temperature_Min_C,Temperature_Dewpoint_C,Temperature_Range_C,Relative_Humidity_%,Specific_Humidity_g/kg,Precipitation_mm,Wind_Speed_2m_m/s,Wind_Speed_10m_m/s,Wind_Direction_deg,Surface_Pressure_kPa,Solar_Radiation_Shortwave_W/m2,Solar_Radiation_Longwave_W/m2
2023-08-15,Dhaka,23.8103,90.4125,28.94,32.55,25.74,,,86.55,,15.22,1.25,,,100.26,13.15,
2023-08-18,Dhaka,23.8103,90.4125,28.68,32.11,26.53,,,89.75,,2.93,2.56,,,100.24,20.98,
2023-08-21,Dhaka,23.8103,90.4125,28.21,30.73,26.5,,,89.64,,2.69,2.17,,,100.32,19.68,
2023-08-24,Dhaka,23.8103,90.4125,28.16,30.23,26.36,,,91.84,,18.28,1.96,,,100.0,11.9,
2023-08-27,Dhaka,23.8103,90.4125,28.69,31.65,26.51,,,89.86,,12.98,2.68,,,100.0,14.73,
2023-08-15,Chittagong,22.3569,91.7832,28.33,30.77,26.28,,,86.7,,18.73,2.02,,,100.07,13.48,
2023-08-18,Chittagong,22.3569,91.7832,28.23,31.38,25.8,,,87.28,,6.13,3.13,,,99.99,22.33,
2023-08-21,Chittagong,22.3569,91.7832,27.9,29.91,26.09,,,86.93,,13.0,1.6,,,100.13,15.25,
2023-08-24,Chittagong,22.3569,91.7832,28.03,30.7,26.52,,,92.26,,25.1,4.12,,,99.86,14.92,
2023-08-27,Chittagong,22.3569,91.7832,28.13,30.34,26.55,,,90.64,,77.58,3.12,,,99.89,4.61,
2023-08-15,Sylhet,24.8949,91.8687,27.42,30.3,24.51,,,91.53,,23.05,1.57,,,99.2,8.3,
2023-08-18,Sylhet,24.8949,91.8687,29.25,32.8,26.37,,,87.03,,9.04,1.25,,,99.17,20.92,
2023-08-21,Sylhet,24.8949,91.8687,27.61,30.0,25.91,,,92.66,,48.45,2.13,,,99.24,13.8,
2023-08-24,Sylhet,24.8949,91.8687,27.49,30.55,24.8,,,92.55,,31.69,1.74,,,98.97,10.94,
2023-08-27,Sylhet,24.8949,91.8687,27.78,30.43,25.68,,,92.46,,88.82,3.16,,,98.91,9.21,
2023-08-15,Rangpur,25.7439,89.2752,29.29,32.76,25.97,,,84.88,,7.67,1.8,,,99.97,17.82,
2023-08-18,Rangpur,25.7439,89.2752,29.79,32.72,27.52,,,85.43,,9.51,2.04,,,99.97,19.79,
2023-08-21,Rangpur,25.7439,89.2752,28.4,31.12,26.58,,,86.92,,1.41,2.01,,,100.03,17.24,
2023-08-24,Rangpur,25.7439,89.2752,28.23,30.23,26.88,,,91.24,,34.64,2.56,,,99.71,9.36,
2023-08-27,Rangpur,25.7439,89.2752,28.72,31.42,26.17,,,90.12,,19.02,2.78,,,99.62,11.48,
