Date,Time,DateTime,Location,Latitude,Longitude,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_2m_m/s,Precipitation_mm,Solar_Radiation_kWh/m2
2019-01-01,00:00,2019-01-01 00:00,Chittagong,22.3569,91.7832,17.23,76.52,1.39,0.0,0.0
2019-01-01,00:30,2019-01-01 00:30,Chittagong,22.3569,91.7832,17.23,76.52,1.39,0.0,0.0
2019-01-01,01:00,2019-01-01 01:00,Chittagong,22.3569,91.7832,16.55,79.11,1.47,0.0,0.0
2019-01-01,01:30,2019-01-01 01:30,Chittagong,22.3569,91.7832,16.55,79.11,1.47,0.0,0.0
2019-01-01,02:00,2019-01-01 02:00,Chittagong,22.3569,91.7832,16.01,80.88,1.55,0.0,0.0
2019-01-01,02:30,2019-01-01 02:30,Chittagong,22.3569,91.7832,16.01,80.88,1.55,0.0,0.0
2019-01-01,03:00,2019-01-01 03:00,Chittagong,22.3569,91.7832,15.74,81.38,1.54,0.0,0.0
2019-01-01,03:30,2019-01-01 03:30,Chittagong,22.3569,91.7832,15.74,81.38,1.54,0.0,0.0
2019-01-01,04:00,2019-01-01 04:00,Chittagong,22.3569,91.7832,15.62,81.39,1.46,0.0,0.0
2019-01-01,04:30,2019-01-01 04:30,Chittagong,22.3569,91.7832,15.62,81.39,1.46,0.0,0.0
2019-01-01,05:00,2019-01-01 05:00,Chittagong,22.3569,91.7832,15.53,81.54,1.38,0.0,0.0
2019-01-01,05:30,2019-01-01 05:30,Chittagong,22.3569,91.7832,15.53,81.54,1.38,0.0,0.0
2019-01-01,06:00,2019-01-01 06:00,Chittagong,22.3569,91.7832,15.5,81.76,1.32,0.0,0.02
2019-01-01,06:30,2019-01-01 06:30,Chittagong,22.3569,91.7832,15.5,81.76,1.32,0.0,0.02
2019-01-01,07:00,2019-01-01 07:00,Chittagong,22.3569,91.7832,16.96,80.98,1.28,0.0,0.47
2019-01-01,07:30,2019-01-01 07:30,Chittagong,22.3569,91.7832,16.96,80.98,1.28,0.0,0.47
2019-01-01,08:00,2019-01-01 08:00,Chittagong,22.3569,91.7832,18.63,74.43,1.16,0.0,1.21
2019-01-01,08:30,2019-01-01 08:30,Chittagong,22.3569,91.7832,18.63,74.43,1.16,0.0,1.21
2019-01-01,09:00,2019-01-01 09:00,Chittagong,22.3569,91.7832,21.66,63.39,1.0,0.0,1.87
2019-01-01,09:30,2019-01-01 09:30,Chittagong,22.3569,91.7832,21.66,63.39,1.0,0.0,1.87
