Date,Time,DateTime,Location,Latitude,Longitude,Temperature_2m_C,Relative_Humidity_%,Wind_Speed_2m_m/s,Precipitation_mm,Solar_Radiation_kWh/m2
2020-01-01,00:00,2020-01-01 00:00,Dhaka,23.8103,90.4125,17.3,82.0,0.94,0.0,0.0
2020-01-01,00:30,2020-01-01 00:30,Dhaka,23.8103,90.4125,17.3,82.0,0.94,0.0,0.0
2020-01-01,01:00,2020-01-01 01:00,Dhaka,23.8103,90.4125,16.45,87.29,1.0,0.0,0.0
2020-01-01,01:30,2020-01-01 01:30,Dhaka,23.8103,90.4125,16.45,87.29,1.0,0.0,0.0
2020-01-01,02:00,2020-01-01 02:00,Dhaka,23.8103,90.4125,15.92,91.25,1.04,0.0,0.0
2020-01-01,02:30,2020-01-01 02:30,Dhaka,23.8103,90.4125,15.92,91.25,1.04,0.0,0.0
2020-01-01,03:00,2020-01-01 03:00,Dhaka,23.8103,90.4125,15.74,93.0,1.07,0.0,0.0
2020-01-01,03:30,2020-01-01 03:30,Dhaka,23.8103,90.4125,15.74,93.0,1.07,0.0,0.0
2020-01-01,04:00,2020-01-01 04:00,Dhaka,23.8103,90.4125,15.58,93.97,1.05,0.0,0.0
2020-01-01,04:30,2020-01-01 04:30,Dhaka,23.8103,90.4125,15.58,93.97,1.05,0.0,0.0
2020-01-01,05:00,2020-01-01 05:00,Dhaka,23.8103,90.4125,15.38,94.97,1.01,0.0,0.0
2020-01-01,05:30,2020-01-01 05:30,Dhaka,23.8103,90.4125,15.38,94.97,1.01,0.0,0.0
2020-01-01,06:00,2020-01-01 06:00,Dhaka,23.8103,90.4125,15.21,95.64,0.99,0.0,0.0
2020-01-01,06:30,2020-01-01 06:30,Dhaka,23.8103,90.4125,15.21,95.64,0.99,0.0,0.0
2020-01-01,07:00,2020-01-01 07:00,Dhaka,23.8103,90.4125,16.7,91.54,1.21,0.0,0.34
2020-01-01,07:30,2020-01-01 07:30,Dhaka,23.8103,90.4125,16.7,91.54,1.21,0.0,0.34
2020-01-01,08:00,2020-01-01 08:00,Dhaka,23.8103,90.4125,18.36,84.42,1.87,0.0,0.92
2020-01-01,08:30,2020-01-01 08:30,Dhaka,23.8103,90.4125,18.36,84.42,1.87,0.0,0.92
2020-01-01,09:00,2020-01-01 09:00,Dhaka,23.8103,90.4125,20.82,76.91,1.67,0.0,1.52
2020-01-01,09:30,2020-01-01 09:30,Dhaka,23.8103,90.4125,20.82,76.91,1.67,0.0,1.52
2020-01-01,10:00,2020-01-01 10:00,Dhaka,23.8103,90.4125,23.93,64.24,1.59,0.0,2.1
2020-01-01,10:30,2020-01-01 10:30,Dhaka,23.8103,90.4125,23.93,64.24,1.59,0.0,2.1
2020-01-01,11:00,2020-01-01 11:00,Dhaka,23.8103,90.4125,25.19,60.22,1.19,0.01,2.03
2020-01-01,11:30,2020-01-01 11:30,Dhaka,23.8103,90.4125,25.19,60.22,1.19,0.01,2.03
2020-01-01,12:00,2020-01-01 12:00,Dhaka,23.8103,90.4125,25.81,57.34,0.71,0.02,2.04
2020-01-01,12:30,2020-01-01 12:30,Dhaka,23.8103,90.4125,25.81,57.34,0.71,0.02,2.04
